url,categoria,titulo,texto
https://claudiaandjulia.com/blogs/general/patatas-asadas-crujientes-al-estilo-hasselback-con-bacon,cocina,Patatas asadas crujientes al estilo Hasselback con bacon,"¿Quieres darle a tu comida diaria un toque emocionante y delicioso? Las Patatas Asadas Crujientes al Estilo Hasselback con Bacon son una excelente manera de hacerlo. Este sencillo pero vistoso plato te permite aprovechar ingredientes que ya tienes en tu despensa y convertirlos en una experiencia culinaria única.
Te aseguro que preparar esta receta es pan comido. Todo lo que necesitas es tu confiable sartén de hierro Le Creuset y algunos ingredientes básicos de la cocina. En tan solo cinco minutos de preparación, estarás listo para hornear estas patatas al horno. El resultado es un plato que deleitará tus sentidos. Las patatas quedan doradas y crujientes por fuera, mientras que su interior sigue siendo suave y lleno de sabor. Pero eso no es todo. Hemos llevado estas patatas al siguiente nivel añadiendo crujiente bacon.
Puedes disfrutarlas de varias maneras. Sirve estas patatas como un primer plato que sorprenderá a tus invitados o sírvelas junto a tu carne o pescado favorito para convertir cualquier comida en una ocasión especial. Además, si te sobra alguna, puedes estar seguro de que se volverán a calentar perfectamente para disfrutarlas al día siguiente.
Así que, ¿qué estás esperando? Esta receta es una forma emocionante de transformar los ingredientes que normalmente tienes a la mano en un manjar inolvidable. ¡Atrévete a probar las Patatas Asadas Crujientes al Estilo Hasselback con Bacon y lleva tus comidas a un nivel completamente nuevo!"
https://claudiaandjulia.com/blogs/general/el-arte-de-la-torrefaccion-en-una-sarten-para-castanas-una-sarten-perforada,cocina,El arte de la torrefacción en una sartén para castañas (una sartén perforada),"La torrefacción es una técnica culinaria que ha ganado popularidad en los últimos tiempos, ¡Y puedes aplicarla facilísimamente y sin encender el horno con una sartén para castañas*!
*No todas las sartenes para castañas te valdrán, pero sí te valdrá para ello seguro la sartén para castañas De Buyer, porque a diferencia de otras sartenes de castañas los agujeros son pequeños y laterales (los frutos no traspasan los agujeros). La De Buyer es una sartén de lo más accesible en precio y además es de hierro, así que te dura toda la vida en casa.
La torrefacción implica cocinar ingredientes en seco a altas temperaturas para desarrollar sabores únicos y profundizar su perfil de sabor. Aunque a menudo se asocia con la torrefacción de granos de café y nueces, esta técnica es versátil y puede aplicarse a una amplia variedad de alimentos.
Lo que es aún más emocionante es que puedes explorar esta técnica en la comodidad de tu hogar, y todo lo que necesitas es una sartén perforada o, lo que es lo mismo, una sartén para castañas: al ser de hierro, coge ya de por sí una elevadísima temperatura, pero además, gracias a sus agujeros y al contacto tan próximo a la fuente de calor, la torrefacción resulta de lo más efectiva y adquiere un aroma a tueste increíble. A ese proceso se le suma el diseño especial que posee el fondo de la sartén perforada de De Buyer, con unos círculos que favorecen la circulación del aire y te facilita un tostado perfecto."
https://claudiaandjulia.com/blogs/general/tarta-karpatka-tarta-polaca,cocina,"Tarta Karpatka (la popular tarta polaca, paso a paso)","Como os comentaba anteriormente, la tarta Karpatka es un pastel tradicional de origen polaco. Como pasa con algunas recetas, en este caso, es difícil conocer sus orígenes. 
Existen rumores que hablan de un pastelero que, queriendo hornear hojaldres individuales, colocó las piezas demasiado cerca unas de otras. El resultado fue una placa de hojaldre fusionada en una única pieza. Decidió cortarla por la mitad longitudinalmente y rellenarla con crema. Después eran cortados en cuadrados y espolvoreados con azúcar en polvo, recordando así las colinas cubiertas de nieve de los Cárpatos.
De acuerdo a un libro de texto de gastronomía, describen la tarta Karpatka como una lámina de masa quebrada cubierta con crema y, sobre esta, una lámina de masa choux.
La primera mención escrita data de 1972 en un guión para estudiantes de filología polaca."
https://claudiaandjulia.com/blogs/general/paella,cocina,Paella de arroz,"La paella es un plato emblemático de nuestro país, una receta que captura la esencia de nuestra gastronomía. Con su arroz de grano corto, mariscos frescos, verduras y/o carne, es una explosión de sabores mediterráneos, la paella es una verdadera obra maestra culinaria que ha conquistado corazones en todo el mundo.
Hay cantidad de formas de preparar una paella, y no podía faltar en el blog, tan cerca como estamos del 20 de septiembre, día internacional de la paella, que se celebra coincidiendo con la siega del arroz.
La de hoy no es una paella valenciana, sino simplemente un arroz de gambas y mejillones clásico hecho en paella, que siempre queda bien.
No sé en vuestras casas, pero la paella forma parte de una tradición importante en casa, la de reunirnos en familia: a menudo lo que luce en la mesa de casa de mi madre es simple y solamente una paella, una paella llena de alimentos deliciosos y ricos, una paella de lo más completa, alrededor de la cual nos sentamos y disfrutamos en familia. Con ella hemos comido... y hemos hablado, reído y compartido. Y la historia se repite, con gran cariño, varios domingos de cada mes desde hace años. ¡Y nos encanta!
Espero que os unáis a nosotros en la celebración de esta receta tan especial para todos. Perfecta, completa, ¡Deliciosa!"
https://claudiaandjulia.com/blogs/general/corona-trenzada-de-nutella,cocina,Corona trenzada de Nutella,"Mi yo más chocolatera viene hoy con una receta que es perfecta para improvisar una merienda o preparar un desayuno de fiesta: una irresistible corona trenzada de Nutella. Un dulce que sabe a crujiente croissant de chocolate en cada bocado y que podrás disfrutar recién salido del horno o unas horas después, ¡si queda algún trozo!
Esta corona no tiene ningún secreto en su preparación, y como vamos a usar masas refrigeradas resulta de lo más fácil y rápida de hacer. Solo necesitas tener a mano un par de láminas de hojaldre y un bote de tu crema de chocolate y avellanas favorita. Lo demás es la mar de fácil, porque no requiere más que un poquito de gracia para formar una trenza de dos cabos. Una tarea de lo más sencilla.
Para convertir esta corona en un desayuno o una merienda festiva, te propongo hornearla en un utensilio especial que es perfecto para servirla directamente a la mesa: la cocotte baja tipo cacerola de Le Creuset. Además de para preparar unos guisos maravillosos, es un recipiente ideal para hornear panes, bizcochos y, como no, una corona trenzada de Nutella espectacular."
https://claudiaandjulia.com/blogs/general/risotto-de-chipirones,cocina,Risotto nero de chipirones,"Como seguro ya sabes, el risotto es un plato tradicional de la cocina italiana que destaca por su cremosidad y su delicioso sabor. Esta preparación es de lo más versátil, pudiéndose elaborar con una amplia variedad de ingredientes, lo que la convierte en una opción ideal para adaptarla a nuestro gusto. Entre los risottos más emblemáticos destacan el de setas, el de quesos, o este risotto nero de chipirones con el que vas a triunfar. 
A esta exquisita receta no le falta la cremosidad clásica que debe tener un buen risotto. Y con los sabores del mar y la frescura que le aportan la tinta del calamar y los deliciosos chipirones, te aseguro que cada bocado es mejor que el anterior. Una preparación que, acompañada de una buena ensalada, es un plato estupendo para saborear en cualquier ocasión."
https://claudiaandjulia.com/blogs/general/focaccia-mediterranea,cocina,Focaccia mediterránea,"Confieso que soy una enamorada de la focaccia, sea cual sea la forma en que se condimente. Aderezada tan solo con aceite de oliva virgen extra, un poco de sal y romero, resulta deliciosa tanto para acompañar unos quesos o la ensalada, como para comerla tal cual. Si te gusta tanto como a mí, te invito a preparar esta receta de focaccia mediterránea, que con el toque del jamón está exquisita.
Si hay algo que caracteriza a la focaccia, además de su sencilla elaboración, es la cantidad de variaciones que tiene y las infinitas adaptaciones que se han hecho, se pueden hacer y se seguirán haciendo. Es un plato con mucha historia, ¡más que la pizza!, y con mucho futuro. Tal es la cantidad de combinaciones que pueden hacerse, que estoy segura de que nunca me cansaré de comerla.
Por ese motivo y para que resulte como debe ser, con la corteza dorada y el interior suave y aireado, nada mejor que la bandeja cerámica para focaccia de Emile Henry para hornearla. Una bandeja ideal por su forma rectangular y por la excelente transmisión del calor, que además es preciosa para presentarla recién horneada en la mesa y en la que incluso podrás cortar las porciones sin miedo."
https://claudiaandjulia.com/blogs/general/tartaletas-de-queso-cabra-y-cebolla-balsamica-caramelizada,cocina,Tartaletas de queso cabra y cebolla balsámica caramelizada,"¿Te apetece probar una de mis tartaletas favoritas? Estas Tartaletas de Queso de Cabra con Cebolla Balsámica son perfectas para esos momentos en los que quieres disfrutar de algo sabroso y sin complicaciones. Si usas masa de hojaldre refrigerada, todo se vuelve mucho más sencillo y con solo poner cariño a la hora de caramelizar la cebolla, agregar generosas porciones de queso de cabra y dejar que el horno haga su magia hasta que queden doraditas y crujientes.
Sin duda, el toque especial a estas tartaletas lo aportan las cebollas caramelizadas. Te recomiendo en la receta hacerlas al fuego con un toque de vinagre balsámico, para realzar su dulzura natural. El contraste entre el queso cremoso y las cebollas agridulces es simplemente irresistible.
Puedes acompañar estas delicias con una ensalada de brotes tiernos y tomates cherry, y tendrás una combinación de sabores que te sorprenderá gratamente. ¡Un primer plato estupendo o una cena deliciosa! También como entrante, en una reunión con amigos, estas tartaletas de queso y cebolla caramelizada son una opción ganadora. ¡Así que anímate a probarlas y déjate sorprender por su sabor!"
https://claudiaandjulia.com/blogs/general/burrata-con-ensalada-colorida-de-tomates-cherry-y-pesto-casero,cocina,Ensalada multicolor de burrata con tomates y pesto casero,"Hay combinaciones que son fabulosas, dando como resultado un plato delicioso y lleno de sabores. Una de ellas es la del queso con tomate y pesto, que tanto puede presentarse como aperitivo acompañado de unas rebanadas de pan tostado o como un entrante perfecto. Esta burrata con ensalada colorida de tomates cherry y pesto casero es un plato ideal.
Ya sabes que en verano me gustan las recetas rápidas y sin complicaciones. Y como podrás ver, esta de hoy es de lo más fácil y la tendrás lista en un abrir y cerrar de ojos. Puedes preparar el pesto con antelación (te explico cómo hacerlo en la receta) y tenerlo en la nevera listo para usar, o incluso si haces bastante cantidad podrás guardarlo en botes en el congelador, para usarlo cuando lo requieras. También puedes comprarlo, pero realmente es muy sencillo de hacer y el pesto casero no tiene igual.
Y como lo que queremos es un plato veraniego, ¡qué mejor que llenarlo de color! Para ello bastará con elegir tomates cherry de diferentes variedades y colores, que junto con el blanco de la burrata y el verde del pesto, darán alegría a este plato, que es perfecto en cualquier comida del día."
https://claudiaandjulia.com/blogs/general/costillas-ahumadas,cocina,Costillas de cerdo ahumadas en barbacoa,"Hoy te invito a disfrutar de unas deliciosas costillas de cerdo ahumadas en barbacoa de lo más jugosas y tiernas. El secreto de esa jugosidad está en un ingrediente que, en cuanto lo pruebes, no querrás vivir sin él los días de parrillada: el zumo de manzana. 
Además del zumo, para que el tostado y el aroma de las costillas suba de nivel, te propongo glasearlas unos minutos antes de acabar de asarlas con una de las salsas y glaseados Traeger que más me gusta, el Traeger'QUE. Me encanta su sabor ligeramente ahumado con notas de nogal americano, azúcar moreno y vinagre picante, que marida de lujo con la carne de cerdo y que también es perfecto para acompañar a cualquier alimento.
Si además tienes la opción de ahumar la carne con pellet, ¡no lo dudes! Y te propongo que lo hagas con un pellet de madera de manzana o de nogal. Aunque con cualquier pellet de madera de árbol frutal, el sabor ahumado en la carne resulta delicioso."
